,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,busselton,-33.65,115.33,287.04,75,3,5.34,AU,1595361153
1,souillac,-20.52,57.52,294.15,60,75,4.6,MU,1595361004
2,rikitea,-23.12,-134.97,292.21,63,92,8.64,PF,1595360995
3,tuatapere,-46.13,167.68,277.04,83,54,1.34,NZ,1595361153
4,sandwick,60,-1.25,285.15,81,20,2.1,GB,1595361153
5,atuona,-9.8,-139.03,299.5,75,4,9.13,PF,1595360991
6,port hardy,50.7,-127.42,290.15,93,90,2.6,CA,1595361043
7,altay,47.87,88.12,287.62,78,100,0.45,CN,1595361154
8,linden,6,-58.3,305.15,62,40,3.1,GY,1595361154
9,vaini,-21.2,-175.2,287.15,93,20,0.82,TO,1595361154
10,coihaique,-45.58,-72.07,276.15,69,75,6.7,CL,1595361154
11,vila velha,-20.33,-40.29,298.71,73,40,7.7,BR,1595361155
12,kandrian,-6.22,149.55,298.12,88,54,4.59,PG,1595361155
13,kroya,-7.63,109.25,297.35,88,42,2.34,ID,1595361079
14,lavrentiya,65.58,-171,281.4,70,80,0.53,RU,1595361065
15,kiama,-34.68,150.87,281.48,86,22,2.48,AU,1595361155
16,san marcos,33.14,-117.17,302.04,68,40,2.1,US,1595360949
17,san pedro,14.35,121.02,298.15,88,100,1.5,PH,1595361079
18,rorvik,64.86,11.24,285.15,71,75,5.1,NO,1595361156
19,mayor pablo lagerenza,-19.93,-60.77,307.61,24,43,6.3,PY,1595361156
20,ucluelet,48.93,-125.55,289.26,87,20,2.1,CA,1595361047
21,castro,-24.79,-50.01,293.09,65,3,1.83,BR,1595361054
22,mar del plata,-38,-57.56,284.26,93,90,7.2,AR,1595361097
23,kirovskiy,45.09,133.51,289.48,94,3,1.54,RU,1595361156
24,qaanaaq,77.48,-69.36,282.9,53,16,2.25,GL,1595361009
25,khatanga,71.97,102.5,285.91,63,78,4.67,RU,1595361059
26,georgetown,5.41,100.34,299.15,100,40,2.1,MY,1595361112
27,moranbah,-22,148.05,288.4,87,100,8.28,AU,1595361157
28,plum,40.5,-79.75,299.26,56,35,0.71,US,1595361157
29,trairi,-3.28,-39.27,300.63,66,82,5.05,BR,1595361157
30,mataura,-46.19,168.86,276.43,92,93,3.09,NZ,1595360995
31,fortuna,40.6,-124.16,290.15,77,1,5.1,US,1595361094
32,ponta do sol,32.67,-17.1,297.15,64,20,6.7,PT,1595361158
33,tilichiki,60.47,166.1,284.87,71,0,0.93,RU,1595361158
34,abu samrah,35.3,37.18,296.8,40,0,5.5,SY,1595361158
35,albany,42.6,-73.97,304.26,41,52,3.53,US,1595361003
36,ribeira grande,38.52,-28.7,296.15,69,40,3.6,PT,1595361076
37,butaritari,3.07,172.79,300.1,78,100,4.5,KI,1595361159
38,hobart,-42.88,147.33,281.15,65,100,5.7,AU,1595361063
39,puerto ayora,-0.74,-90.35,299.15,61,75,7.2,EC,1595361159
